# Sensor Lenin Avenue, Кировский район, Russia (Citizen Science project sensor.community/50231)
# https://aqicn.org/station/@158917/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2021-07-18T00:00:00.000Z,3.33,25.85,9.77,7.3,12.07,3.09,254
2021-07-19T00:00:00.000Z,1.2,7.9,3.2,2.29,3.92,1.068,236
2021-07-20T00:00:00.000Z,1.63,20.5,3.58,2.72,8.52,5.794,250
2021-07-21T00:00:00.000Z,3.45,28.63,13.01,4.2,14.3,5.443,264
2021-07-22T00:00:00.000Z,5.32,20.27,10.63,7.03,13.18,3.29,235
2021-07-23T00:00:00.000Z,4.88,15.07,6.74,6.13,8.3,2.278,274
2021-07-24T00:00:00.000Z,6.5,6.5,6.5,6.5,6.5,0,1
2021-07-25T00:00:00.000Z,13.15,13.3,13.23,13.15,13.3,0.075,2
2021-07-26T00:00:00.000Z,0.2,18.39,9.32,0.5,13.15,5.79,273
2021-07-27T00:00:00.000Z,0.22,4.57,1,0.6,1.7,0.66,332
2021-07-28T00:00:00.000Z,0.6,13.75,1.12,0.9,3.1,2.293,322
2021-07-29T00:00:00.000Z,1.55,10.93,3.2,2.5,4.45,2.112,290
2021-07-30T00:00:00.000Z,1.63,16.13,4.72,3.45,6.53,2.699,235
2021-07-31T00:00:00.000Z,1.4,6.07,2.9,2.1,4.3,1.316,247
2021-08-01T00:00:00.000Z,2.2,28.45,4.34,3.12,11.15,7.888,241
2021-08-02T00:00:00.000Z,2.9,36.97,5.07,3.8,7.74,4.646,233
2021-08-03T00:00:00.000Z,2.9,12.7,4,3.38,4.8,1.958,62
2021-08-05T00:00:00.000Z,3.15,18.57,6.57,4.95,8.8,4.422,228
2021-08-06T00:00:00.000Z,2.27,26.75,13.77,6.84,16.76,6.41,297
2021-08-07T00:00:00.000Z,3.1,52.75,21.67,6.75,29.28,11.445,301
2021-08-08T00:00:00.000Z,15.48,39.08,22.73,20.3,26.88,5.041,279
2021-08-09T00:00:00.000Z,12.75,79.47,27.44,22.13,37.15,11.892,218
2021-08-10T00:00:00.000Z,14.82,58.63,35.35,22.63,46.28,12.532,289
2021-08-11T00:00:00.000Z,3.75,22.02,10.38,6.27,13.15,4.285,211
2021-08-12T00:00:00.000Z,2.29,28.25,5.93,4.72,8.11,6.024,265
2021-08-13T00:00:00.000Z,0.56,27.77,13.63,3.35,18.14,7.154,499
2021-08-14T00:00:00.000Z,11.63,49.88,33.94,23.48,38.65,8.511,418
2021-08-15T00:00:00.000Z,3.45,33.67,8.3,7.13,11.35,5.808,435
2021-08-16T00:00:00.000Z,4.68,33.6,9.59,7.32,19.1,7.525,490
2021-08-17T00:00:00.000Z,2.6,39.9,4.25,3.4,24.63,11.631,206
2021-08-19T00:00:00.000Z,1.35,21.25,3.7,2.82,5.22,2.182,492
2021-08-20T00:00:00.000Z,0.4,23.95,2.17,1.6,2.91,1.503,477
2021-08-21T00:00:00.000Z,0.45,10.3,1.9,1.25,3.2,1.857,513
